"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,2,19936.00283,5486.62477,107.76709,771.55704,16.38924,31.81567,22.849
2,4,23086.14494,1648.86428,84.50404,768.43819,13.53616,30.80415,14.68852
4,13,23115.86567,1606.26782,141.14602,831.11361,13.92033,27.55009,30.19118
6,15,23058.57165,1706.21529,160.07216,1150.08669,9.7291,32.22583,32.2594
7,16,23107.15831,1675.91085,104.09451,1081.40872,16.46623,31.1184,15.19701
8,17,23086.74267,1725.69352,99.31979,883.88992,15.26793,22.66019,12.77713
9,18,23069.65085,1678.05815,70.32802,771.96879,17.96448,21.40974,8.02428
10,32,17683.51002,12898.16556,93.58837,934.49673,11.08243,21.78105,10.63056
11,40,17751.78325,12997.06194,107.8644,961.07443,14.45111,24.55389,14.58376
12,41,1936.55923,14440.91404,104.11193,1133.2695,13.51566,27.93681,13.17851
13,60,13768.72052,5327.27616,141.8258,674.18239,21.50215,40.27311,54.08929
14,71,17212.436,19827.02846,89.70051,904.52158,16.07615,24.41549,11.27722
15,83,16773.03648,9404.31222,155.60467,1424.89057,15.50806,28.70093,22.23708
16,84,16801.23781,9392.89711,101.27952,855.2446,23.35078,28.90882,16.96691
17,133,9763.11425,16809.03023,92.74264,955.81052,18.20088,30.22807,13.67812
18,151,7591.83896,5100.15802,88.91172,1120.8633,22.91752,32.62744,11.73854
19,161,7630.12344,5080.21953,76.36057,1439.1712,12.50374,26.23545,6.08685
20,163,7635.31865,5125.70398,83.81847,701.92707,14.31442,23.22146,12.26363
22,201,16850.17634,15133.6259,105.32684,911.67446,14.34571,29.61272,17.45996
23,204,16805.65415,12384.79627,92.21323,796.18045,16.16945,25.28439,13.72227
24,289,23818.85595,23018.17592,122.11373,922.1601,12.48331,27.23207,20.7439
25,293,17206.0577,8644.48171,86.92133,821.64057,9.76696,21.92951,10.68829
26,294,17247.69449,8661.18454,98.53978,2316.85677,17.39287,29.36173,6.45132
27,295,17211.97987,8682.01244,100.93213,1654.89008,21.61319,34.47526,10.54012
28,296,17227.0863,8651.76358,91.72416,1924.30027,13.57706,21.80662,5.39723
29,297,17260.64843,8690.98839,125.3137,2161.25305,12.47967,33.51909,11.61271
30,298,17247.35216,8702.40223,94.82989,1599.32783,18.92104,29.65509,8.59035
31,299,17219.36813,8670.13951,108.71935,1569.40161,12.18098,28.03885,10.47093
32,300,17268.45444,8684.81496,112.34298,675.16496,14.50912,26.11011,23.24143
33,302,17220.15493,8675.28817,79.31591,1269.82887,11.25944,20.32066,5.91613
34,351,13101.95711,12345.45841,111.8755,1216.54954,19.82395,26.25453,13.19103
35,369,12651.37594,6628.66128,93.89673,898.24949,8.33336,20.78442,10.65524
36,370,12611.33545,6591.39247,148.91735,904.04587,14.4941,27.97584,31.16079
37,371,12657.34966,6595.38289,134.28431,1307.09633,12.12964,25.3493,16.46772
38,379,14040.77786,514.02713,172.62955,1005.51156,18.21855,28.14291,37.23975
39,386,16039.55565,14254.82526,77.98183,1165.81279,12.9456,24.89127,7.28018
40,454,1249.31168,17344.99645,105.26415,824.89285,12.83991,24.22123,15.97093
41,455,1252.51027,17381.11123,112.62758,884.27016,12.01295,22.34963,15.63137
42,457,1216.19674,17358.70227,138.34915,1391.4253,13.04896,23.56454,15.32258
43,459,1228.73918,17435.35234,78.5099,770.03256,22.97872,30.00968,12.70627
44,461,1254.16436,17433.47559,81.37916,662.79073,15.68302,22.53057,12.02454
45,464,1241.8885,17471.65565,97.93556,775.29491,14.47628,24.30152,15.02369
46,528,24287.23249,16964.07794,91.18744,701.44763,20.71937,27.46309,16.37488
47,551,23878.88599,22881.44653,110.47524,670.13673,23.59284,35.56405,30.48687
48,579,23796.4071,16382.08625,82.4238,823.72145,11.5639,16.38507,7.78037
50,664,23759.42417,15369.06287,97.22054,1614.18738,18.78549,25.5394,7.82217
52,714,23754.58941,15381.02494,124.98148,926.42524,19.27517,31.47293,24.67616
53,727,10463.55367,24059.62673,83.52786,872.37763,12.79114,25.03043,10.62451
54,745,14296.84523,8905.17794,158.77614,1032.80858,10.7321,21.06,23.60321
55,759,3683.37617,23118.8342,84.84309,1095.12502,23.01202,31.83274,10.86927
56,760,3739.05821,23128.74265,156.42982,1300.2508,12.4512,35.17724,29.80262
57,834,11671.02762,19057.35175,117.21442,861.63254,14.34096,21.94377,16.89349
58,850,23807.6301,22945.66637,123.73761,735.3915,17.00868,32.73552,31.53588
59,852,11657.10217,19003.29417,117.16439,1116.97798,17.3184,28.27197,16.59008
60,862,13479.66818,14854.39158,216.85077,1389.18219,8.46443,29.57306,43.90829
61,871,23871.099,22955.84425,76.33048,676.55391,18.93642,27.28366,12.61409
62,877,14461.98532,14921.25539,91.97995,734.42275,12.48552,22.45017,13.27272
63,906,16554.95253,2053.83247,174.08064,1082.02504,12.87955,28.01227,35.05035
64,983,8460.63717,24639.49997,138.70115,1055.637,17.19876,28.68885,24.06786
65,994,8380.24928,24610.4482,104.47815,656.08953,21.94826,32.94243,26.19018
66,1024,18539.75428,20818.14702,114.0094,993.02173,18.05089,27.30622,17.14316
67,1032,8394.18131,24655.3212,86.4392,854.33899,13.54383,25.34243,11.57115
68,1046,8459.28609,24679.75622,146.87123,997.38393,14.13606,27.74942,27.38251
69,1098,11749.67518,15943.15989,174.22437,954.07438,17.39702,30.15724,42.6558
