Label,volume,centerofMassX,centerofMassY,boundingBoxMinX,boundingBoxMinY,boundingBoxMaxX,boundingBoxMaxY,eigenvalueX,eigenvalueY,eigenvalueZ,aspectRatio,sphericity,numberOfTouchingNeighbors,averageDistanceOf5ClosestNeighbors,numberOfNeighborsCloserThan100.0
1,38,220.921,239.579,216,236,227,241,1.000,1.628,8.004,0.125,1.518,2,13.683,67
2,40,191.825,239.300,188,237,197,241,1.000,1.696,6.458,0.155,1.885,2,15.719,84
3,36,175.833,238.833,172,235,179,241,1.000,2.638,3.806,0.263,1.758,2,14.039,88
4,85,149.294,239.129,139,236,157,241,1.000,1.883,28.484,0.035,1.870,3,14.890,94
5,26,133.846,240.038,130,239,138,241,0.648,1.000,6.289,0.103,1.768,3,13.805,92
6,99,120.081,239.030,108,236,129,241,1.000,2.172,32.073,0.031,1.848,4,14.580,91
7,34,69.324,239.676,64,237,74,241,1.000,1.206,6.820,0.147,1.586,2,15.659,83
8,22,19.182,240.045,16,239,23,241,0.672,1.000,4.520,0.149,1.726,3,11.948,59
9,85,238.659,235.965,234,231,243,241,1.000,4.482,10.342,0.097,2.226,3,15.140,59
10,113,171.327,233.690,165,226,176,241,1.000,4.748,19.650,0.051,2.018,4,12.245,91
11,145,121.883,231.759,113,226,132,237,1.000,5.711,25.969,0.039,2.086,5,13.663,100
12,98,51.551,224.776,47,219,56,232,1.000,4.952,13.183,0.076,2.056,4,12.218,91
13,116,4.629,224.905,0,219,9,231,1.000,8.113,11.482,0.087,2.501,4,14.548,61
14,134,168.336,221.388,161,216,175,226,1.000,7.307,16.183,0.062,2.435,7,14.142,107
15,90,138.144,218.789,132,213,143,225,1.000,5.356,10.467,0.096,1.942,4,12.761,113
16,162,109.321,221.981,98,216,119,227,1.000,4.962,37.818,0.026,2.113,5,13.642,113
17,103,190.417,212.417,182,210,199,215,1.000,2.884,24.709,0.040,2.214,5,13.133,101
18,84,204.750,212.107,199,208,210,216,1.000,4.594,10.642,0.094,2.208,4,13.702,92
19,157,28.280,210.395,19,201,36,220,1.000,10.931,18.338,0.055,1.852,6,15.391,87
20,158,168.620,206.177,164,197,173,216,1.000,5.605,29.106,0.034,2.356,7,15.234,118
21,136,123.257,202.382,116,196,132,208,1.000,7.131,17.605,0.057,2.132,6,14.833,134
22,132,177.583,195.992,172,187,183,204,1.000,4.762,24.367,0.041,2.090,6,14.142,123
23,66,158.606,193.545,156,187,163,199,1.000,2.664,11.913,0.084,1.880,4,13.355,135
24,150,55.040,190.613,49,182,63,199,1.000,7.206,23.109,0.043,2.069,6,15.842,115
25,157,165.083,187.420,159,179,170,197,1.000,7.631,22.255,0.045,2.270,5,12.742,136
26,138,33.261,178.710,28,171,39,188,1.000,6.506,19.255,0.052,2.152,6,13.709,108
27,165,106.552,178.776,97,174,116,185,1.000,6.789,26.966,0.037,2.204,6,16.485,158
28,72,22.167,178.167,17,175,27,182,1.000,3.753,9.358,0.107,2.203,5,12.424,101
29,66,3.939,176.470,0,173,9,182,1.000,3.404,9.357,0.107,1.974,3,13.783,87
30,50,239.880,177.160,236,174,243,180,1.000,3.472,4.768,0.210,2.188,4,12.326,80
31,51,240.275,169.569,237,166,243,173,1.000,3.513,4.813,0.208,2.217,4,12.905,83
32,50,240.860,161.260,238,155,243,166,1.000,2.237,8.355,0.120,1.823,3,12.719,83
33,108,6.380,137.917,0,132,13,142,1.000,6.062,13.547,0.074,2.193,3,11.311,96
34,175,223.131,139.886,216,130,231,150,1.000,6.856,29.702,0.034,2.045,5,15.445,108
35,78,174.744,137.436,171,130,179,144,1.000,3.584,12.622,0.079,1.839,5,11.263,147
36,75,3.307,129.920,0,124,8,135,1.000,4.903,8.103,0.123,2.048,4,12.814,92
37,84,9.976,122.536,5,117,16,128,1.000,4.839,9.933,0.101,1.932,4,12.945,95
38,186,170.054,116.672,162,105,178,128,1.000,5.490,45.007,0.022,1.876,7,15.008,150
39,143,155.119,116.874,148,108,162,125,1.000,5.346,26.393,0.038,2.004,6,13.079,155
40,73,159.740,111.342,155,105,164,117,1.000,3.182,11.180,0.089,1.836,5,11.005,158
41,150,96.980,108.967,91,101,103,118,1.000,6.990,21.008,0.048,2.202,6,15.657,163
42,54,1.722,107.500,0,101,5,115,1.000,2.253,11.457,0.087,1.645,3,15.659,91
43,79,152.734,101.759,148,96,158,108,1.000,3.395,12.300,0.081,1.855,6,11.722,161
44,151,82.126,101.026,72,95,91,107,1.000,4.865,30.887,0.032,2.078,5,13.643,162
45,97,159.866,100.278,154,95,166,107,1.000,4.344,14.757,0.068,1.963,5,12.073,159
46,52,241.596,97.904,239,91,243,106,1.000,1.547,14.204,0.070,1.604,2,19.812,87
47,131,87.282,91.237,79,86,96,97,1.000,4.973,22.983,0.044,2.079,4,14.310,160
48,141,154.362,76.887,150,66,160,85,1.000,5.496,25.899,0.039,2.047,4,13.436,151
49,155,77.129,64.155,70,55,85,73,1.000,5.722,28.122,0.036,1.993,5,15.121,142
50,134,94.679,57.918,89,49,101,65,1.000,6.281,18.789,0.053,2.111,5,15.683,140
51,43,241.186,59.349,238,53,243,64,1.000,1.819,7.583,0.132,1.649,4,15.610,73
52,59,34.390,58.644,30,56,40,62,1.000,3.095,7.508,0.133,2.036,4,14.002,103
53,96,167.260,53.344,162,45,172,60,1.000,4.085,16.520,0.061,1.878,6,14.781,127
54,139,224.719,46.662,218,38,233,54,1.000,5.048,27.925,0.036,1.966,5,13.742,81
55,142,179.521,42.620,175,35,184,52,1.000,6.358,20.479,0.049,2.350,6,14.455,112
56,124,218.089,29.968,213,22,223,38,1.000,5.103,21.089,0.047,2.147,5,13.506,75
57,201,234.348,31.149,227,21,240,45,1.000,6.854,45.251,0.022,2.074,5,13.984,64
58,108,162.296,12.380,156,7,169,18,1.000,6.759,12.296,0.081,2.109,6,11.182,96
59,90,152.278,5.178,148,0,156,10,1.000,5.831,9.316,0.107,2.312,4,11.374,92
60,119,228.966,4.681,221,0,234,12,1.000,7.501,14.480,0.069,2.167,4,13.928,55
61,56,159.964,3.268,156,0,164,7,1.000,4.379,5.138,0.195,1.966,3,11.648,86
62,60,144.883,3.717,142,0,149,8,1.000,3.656,7.151,0.140,2.180,3,13.673,89
63,71,110.577,4.211,106,0,114,9,1.000,3.841,8.992,0.111,2.182,3,12.589,94
64,63,11.698,3.254,8,0,17,8,1.000,4.659,6.376,0.157,2.015,4,13.734,54
65,45,218.400,2.467,214,0,223,5,1.000,2.095,6.261,0.160,1.912,3,12.401,59
66,46,39.348,2.326,36,0,44,6,1.000,2.733,5.670,0.176,1.940,2,13.157,66
67,65,24.323,3.154,18,0,28,7,1.000,4.312,7.544,0.133,2.057,4,11.989,58
68,64,209.031,2.344,202,0,215,5,1.000,2.340,11.760,0.085,1.934,3,14.038,64
69,291,219.766,112.474,207,101,233,123,1.000,9.123,62.660,0.016,2.124,5,20.800,107
70,943,218.729,88.349,199,61,238,118,1.000,47.653,231.787,0.004,1.987,10,20.778,107
71,190,236.068,93.011,228,79,243,104,1.000,5.210,51.149,0.020,1.903,5,17.342,92
72,242,205.897,124.773,192,115,220,133,1.000,6.367,64.786,0.015,1.956,7,16.736,120
73,325,192.695,111.815,177,100,208,124,1.000,6.806,100.922,0.010,1.971,8,17.737,133
74,215,29.098,158.316,23,146,35,173,1.000,7.113,45.880,0.022,2.066,9,15.399,113
75,218,199.807,84.326,186,80,212,89,1.000,6.593,53.094,0.019,2.246,5,15.295,124
76,191,206.743,51.194,200,42,213,61,1.000,9.409,25.534,0.039,2.359,5,16.349,96
77,234,197.427,98.363,184,90,210,107,1.000,6.077,69.869,0.014,2.040,5,16.104,133
78,192,231.458,73.495,223,65,240,83,1.000,6.935,35.188,0.028,2.175,4,16.588,89
79,167,190.623,93.036,180,88,204,99,1.000,4.474,41.784,0.024,1.982,4,14.703,136
80,176,31.176,144.915,22,136,41,153,1.000,5.920,35.599,0.028,1.998,5,15.184,118
81,168,106.351,74.560,95,69,117,79,1.000,6.326,29.648,0.034,2.165,5,15.970,153
82,217,177.848,101.594,169,88,188,114,1.000,5.579,61.409,0.016,1.858,6,15.171,149
83,332,163.982,86.042,147,76,180,95,1.000,7.799,97.940,0.010,2.108,12,16.686,154
84,215,128.470,212.433,118,204,139,222,1.000,8.064,38.319,0.026,2.117,7,13.949,120
85,170,97.124,93.641,88,86,106,101,1.000,6.673,28.607,0.035,2.120,5,13.033,162
86,290,14.866,66.307,0,61,32,72,1.000,7.620,76.558,0.013,2.162,8,17.268,91
87,201,144.517,115.532,136,105,154,127,1.000,5.640,48.491,0.021,1.975,7,14.106,155
88,186,165.737,37.742,157,29,174,46,1.000,7.229,33.017,0.030,2.189,8,14.264,117
89,157,124.006,59.561,118,52,129,68,1.000,8.579,18.884,0.053,2.427,4,14.300,139
