Label,volume,centerofMassX,centerofMassY,boundingBoxMinX,boundingBoxMinY,boundingBoxMaxX,boundingBoxMaxY,eigenvalueX,eigenvalueY,eigenvalueZ,aspectRatio,sphericity,numberOfTouchingNeighbors,averageDistanceOf5ClosestNeighbors,numberOfNeighborsCloserThan100.0
1,89,205.775,178.191,200,173,211,184,1.000,4.933,11.059,0.090,2.008,5,18.447,75
2,111,140.793,140.541,136,132,144,148,1.000,4.255,19.437,0.051,2.148,5,13.514,117
3,28,245.214,116.036,242,113,247,119,1.000,1.860,3.272,0.306,1.715,4,12.991,50
4,46,244.478,109.500,242,106,247,113,1.000,2.815,4.989,0.200,2.070,3,13.061,50
5,129,196.721,98.814,190,90,203,107,1.000,3.982,27.146,0.037,1.929,6,13.732,85
6,136,129.831,101.603,121,96,138,107,1.000,4.707,25.482,0.039,2.132,6,14.088,125
7,47,17.064,1.745,12,0,22,5,1.000,1.812,9.162,0.109,1.852,4,24.909,41
8,519,240.385,154.071,228,133,247,173,1.000,21.125,106.249,0.009,2.519,6,26.345,53
9,317,223.530,170.722,210,163,238,179,1.000,11.521,62.790,0.016,2.392,5,23.349,67
10,3039,224.094,208.858,186,173,247,242,1.000,219.469,353.470,0.003,3.112,8,36.437,47
11,398,209.734,156.930,185,151,228,164,1.000,9.207,133.159,0.008,2.077,6,18.189,83
12,392,209.543,144.622,191,134,226,153,1.000,13.019,86.097,0.012,2.195,6,18.260,83
13,302,199.556,164.894,179,156,217,174,1.000,10.209,97.033,0.010,1.814,5,16.325,89
14,464,198.300,218.140,184,204,214,232,1.000,18.897,95.102,0.011,2.300,5,23.728,50
15,228,91.241,223.219,79,217,102,231,1.000,9.309,37.650,0.027,2.314,2,29.075,50
16,206,188.777,169.767,178,161,200,178,1.000,6.348,45.150,0.022,2.057,6,16.340,91
17,400,225.782,136.327,217,116,235,158,1.000,13.213,123.943,0.008,1.798,6,17.954,68
18,248,212.484,125.746,207,110,218,139,1.000,7.379,60.923,0.016,2.121,5,15.088,78
19,300,148.327,44.940,139,36,161,55,1.000,17.427,37.463,0.027,2.463,5,22.129,86
20,213,64.380,130.423,58,119,69,141,1.000,8.140,37.260,0.027,2.464,4,16.905,95
21,203,123.069,113.621,111,107,136,120,1.000,5.200,52.952,0.019,2.088,6,14.374,124
22,222,106.865,191.631,94,185,119,196,1.000,6.797,52.409,0.019,2.216,7,19.712,78
23,188,196.601,236.564,182,228,205,242,1.000,9.006,36.309,0.028,1.984,3,27.827,36
24,103,119.097,238.689,112,234,126,242,1.000,4.833,14.537,0.069,2.214,3,27.717,47
25,215,128.549,232.274,117,226,140,238,1.000,7.055,44.359,0.023,2.345,6,21.895,53
26,1712,117.579,51.485,77,18,147,82,1.000,85.693,426.300,0.002,2.097,13,21.668,102
27,239,201.632,66.887,189,56,216,78,1.000,4.719,82.058,0.012,1.826,5,19.098,71
28,315,90.559,192.822,79,179,102,206,1.000,9.298,76.720,0.013,2.153,6,20.922,74
29,237,215.177,108.304,203,99,228,117,1.000,6.165,60.454,0.017,2.058,8,15.620,71
30,84,238.595,2.667,233,0,247,7,1.000,3.523,15.345,0.065,2.016,2,44.479,17
31,275,188.295,180.931,170,175,205,187,1.000,6.628,90.248,0.011,2.087,6,15.585,85
32,155,137.903,95.819,130,87,146,103,1.000,6.538,25.207,0.040,2.052,7,15.048,123
